Saturday, November 8, 1969

11/8/1969 Fillmore Auditorium, San Francisco, CA
Schoolgirl, Casey Jones, Dire Wolf, Easy Wind, China Cat > I Know You Rider > High Time, Mama Tried, Good Lovin > Drums > Good Lovin, Cumberland, Dark Star > Other One > Dark Star > Uncle John's Jam > Dark Star > St. Stephen > The Eleven > Caution * > The Main Ten > Caution > Feedback > We Bid You Goodnight
First ''Cumberland''; Previous ''The Main Ten'' 6/19/1968 [183 shows]
The New Old Fillmore. Also: South Bay Experimental Flash; Alligator. *with unknown vocalist. Entire show except a couple hot minutes of "Caution" released as "Dick�s Picks Volume 16."


First Played                   Last Played Played (ttl.) Played ('69) Every Time Played
Good Morning Little Schoolgirl 11/30/1999  6/28/1995            62               26
Casey Jones                    6/20/1969   3/27/1993           313               33
Dire Wolf                      6/7/1969    7/2/1995            225               23
Easy Wind                      8/21/1969   4/4/1971             44               16
China Cat Sunflower            1/17/1968   7/8/1995            553               37
I Know You Rider               2/25/1966   7/8/1995            550               25
High Time                      6/21/1969   3/24/1995           133               39
Mama Tried                     6/11/1969   6/25/1995           301               34
Good Lovin                     5/19/1966   6/28/1995           428               24
Drums                          6/14/1968   2/26/1995           273               34
Cumberland Blues               11/8/1969   7/9/1995            223               16
Dark Star                      12/13/1967  3/30/1994           219               65
Other One                      10/22/1967  7/8/1995            582               52
St. Stephen                    5/24/1968   10/31/1983          165               62
The Eleven                     1/17/1968   6/7/1970             93               58
Caution                        1/8/1966    5/11/1972            56               14
The Main Ten                   6/19/1968   11/8/1970             6                2
Caution                        1/8/1966    5/11/1972            56               14
Feedback                       11/10/1967  3/18/1971            50               22
And We Bid You Goodnight       3/16/1968   9/26/1991            61               19

