Sunday, April 12, 1970

4/12/1970 Fillmore West, San Francisco, CA
Schoolgirl, Casey Jones, Mama Tried, China Cat > I Know You Rider > High Time, Good Lovin� > Drums > Good Lovin, Candyman, Deep Elem, Cumberland, Dire Wolf, Dancin *, Black Peter, Uncle John, It�s a Man�s World, Viola Lee Blues > Feedback
E: We Bid You Goodnight
Billing: GD; Miles Davis Quintet (with Airto Moreira); Stone The Crows; Clouds. *appears on "Fallout from the Phil Zone." No tunes were played acoustically at this show. Parts of this recording have circulated either as 04-09-70, or 07-10-70, and the "Dancin" and "Viola Lee Blues" sometimes appear on audience recordings of 12-28-70.


First Played                   Last Played Played (ttl.) Played ('70) Every Time Played
Good Morning Little Schoolgirl 11/30/1999  6/28/1995            62                4
Casey Jones                    6/20/1969   3/27/1993           313               66
Mama Tried                     6/11/1969   6/25/1995           301               43
China Cat Sunflower            1/17/1968   7/8/1995            553               57
I Know You Rider               2/25/1966   7/8/1995            550               65
High Time                      6/21/1969   3/24/1995           133               22
Drums                          6/14/1968   2/26/1995           273               52
Good Lovin                     5/19/1966   6/28/1995           428               67
Candyman                       4/3/1970    6/30/1995           276               42
Deep Elem Blues                12/1/1966   9/24/1983            44               27
Cumberland Blues               11/8/1969   7/9/1995            223               51
Dire Wolf                      6/7/1969    7/2/1995            225               39
Dancin In The Streets          7/3/1966    4/6/1987            123               25
Black Peter                    12/4/1969   6/22/1995           342               40
Uncle John's Band              12/4/1969   6/28/1995           331               58
Viola Lee Blues                3/12/1966   10/31/1970           32                8
Feedback                       11/10/1967  3/18/1971            50                6
And We Bid You Goodnight       3/16/1968   9/26/1991            61               10

