Wednesday, March 22, 1972

3/22/1972 Academy of Music, New York, NY
I: Greatest, Deal, Mr. Charlie, B. T. Wind, China Cat > I Know You Rider, Mexicali, Tennessee Jed, The Stranger, Bobby McGee, Loser, Big Boss Man, Jack Straw, Big RxR Blues, L. L. Rain, Casey Jones
II: Me and My Uncle, Sugaree, Chinatown Shuffle, Playin, Hurts Me Too, B. E. Women, El Paso, Brokedown, Sugar Magnolia * > Caution * > Jam * > Uncle John *
E: Saturday Night
Previous ''Caution'' 3/18/1971 [71 shows]
*appears on the "Rockin� the Rhein" bonus disc, but "Playing in the Band" does not.


First Played             Last Played Played (ttl.) Played ('72) Every Time Played
Greatest Story Ever Told 2/18/1971   6/27/1995           280               45
Deal                     2/19/1971   6/18/1995           422               42
Mr. Charlie              7/31/1971   5/26/1972            48               30
Black-Throated Wind      3/5/1972    6/28/1995           158               74
China Cat Sunflower      1/17/1968   7/8/1995            553               65
I Know You Rider         2/25/1966   7/8/1995            550               65
Mexicali Blues           10/19/1971  6/25/1995           435               54
Tennessee Jed            10/19/1971  7/8/1995            433               56
Bobby McGee              11/29/1970  12/31/1981          117               26
Loser                    2/18/1971   6/28/1995           344               40
Big Boss Man             7/3/1966    7/6/1995             70               12
Jack Straw               10/19/1971  7/8/1995            472               60
Big Railroad Blues       9/7/1969    6/28/1995           175               32
Looks Like Rain          3/21/1972   6/30/1995           417               11
Casey Jones              6/20/1969   3/27/1993           313               69
Me And My Uncle          11/29/1966  7/6/1995            613               60
Sugaree                  7/31/1971   7/8/1995            358               62
Chinatown Shuffle        12/31/1971  5/26/1972            28               27
Playin In The Band       2/18/1971   7/5/1995            582               79
Hurts Me Too             5/19/1966   5/24/1972            47               13
Brown-Eyed Women         8/23/1971   7/6/1995            347               39
El Paso                  7/14/1970   7/5/1995            387               68
Brokedown Palace         8/18/1970   6/25/1995           215               17
Sugar Magnolia           6/7/1970    7/9/1995            594               72
Caution                  1/8/1966    5/11/1972            56                7
Uncle John's Band        12/4/1969   6/28/1995           331               25
One More Saturday Night  10/19/1971  7/8/1995            338               52

