Tuesday, April 11, 1972

4/11/1972 City Hall, Newcastle upon Tyne, England
I: Greatest, Deal *, Mr. Charlie, B. T. Wind, Tennessee Jed, Big Boss Man, BIODTL, Sugaree *, Jack Straw, Chinatown Shuffle, China Cat > I Know You Rider, Playin, Next Time, B. E. Women, L. L. Rain, Big RxR Blues, Casey Jones
II: Good Lovin, Ramble On, Truckin > Drums > Other One > Comes A Time, Sugar Magnolia, Brokedown *, Saturday Night
*appears on "Steppin� Out with the Grateful Dead." Entire show appears on "Europe '72: The Complete Recordings."


First Played             Last Played Played (ttl.) Played ('72) Every Time Played
Greatest Story Ever Told 2/18/1971   6/27/1995           280               45
Deal                     2/19/1971   6/18/1995           422               42
Mr. Charlie              7/31/1971   5/26/1972            48               30
Black-Throated Wind      3/5/1972    6/28/1995           158               74
Tennessee Jed            10/19/1971  7/8/1995            433               56
Big Boss Man             7/3/1966    7/6/1995             70               12
Beat It On Down The Line 3/12/1966   10/3/1994           325               63
Sugaree                  7/31/1971   7/8/1995            358               62
Jack Straw               10/19/1971  7/8/1995            472               60
Chinatown Shuffle        12/31/1971  5/26/1972            28               27
China Cat Sunflower      1/17/1968   7/8/1995            553               65
I Know You Rider         2/25/1966   7/8/1995            550               65
Playin In The Band       2/18/1971   7/5/1995            582               79
Next Time                2/25/1966   5/26/1972            72               21
Brown-Eyed Women         8/23/1971   7/6/1995            347               39
Looks Like Rain          3/21/1972   6/30/1995           417               11
Big Railroad Blues       9/7/1969    6/28/1995           175               32
Casey Jones              6/20/1969   3/27/1993           313               69
Good Lovin               5/19/1966   6/28/1995           428               19
Ramble On Rose           10/19/1971  6/27/1995           314               41
Truckin                  8/18/1970   7/6/1995            518               59
Drums                    6/14/1968   2/26/1995           273               33
Other One                10/22/1967  7/8/1995            582               42
Comes A Time             10/19/1971  10/9/1994            66                9
Sugar Magnolia           6/7/1970    7/9/1995            594               72
Brokedown Palace         8/18/1970   6/25/1995           215               17
One More Saturday Night  10/19/1971  7/8/1995            338               52

