Friday, November 1, 1985

11/1/1985 Richmond Coliseum, Richmond, VA
I: Dancin > Cold Rain, Rooster, Stagger Lee, Me and My Uncle > Big River, B. E. Women, Jack Straw > Don't Ease
II: Samson, High Time, He's Gone > Spoonful > Comes A Time > Sailor > Drumz > Saint > Gimme Some Lovin > She Belongs To Me > Gloria
E: Day Job
Next ''Gloria'' 3/23/1992 [468 shows]
Entire show appears on "Dick�s Picks Volume 21."


First Played          Last Played Played (ttl.) Played ('85) Every Time Played
Dancin In The Streets 7/3/1966    4/6/1987            123                6
Cold Rain And Snow    2/25/1966   6/19/1995           240                8
Rooster               8/19/1980   7/9/1995            272               14
Stagger Lee           8/30/1978   6/18/1995           145               12
Me And My Uncle       11/29/1966  7/6/1995            613               14
Big River             12/31/1971  7/6/1995            395               13
Brown-Eyed Women      8/23/1971   7/6/1995            347               12
Jack Straw            10/19/1971  7/8/1995            472               12
Don't Ease            7/16/1966   7/8/1995            315               19
Samson And Delilah    6/3/1976    7/9/1995            364               17
High Time             6/21/1969   3/24/1995           133                5
He's Gone             4/17/1972   7/6/1995            327               14
Spoonful              10/15/1981  12/8/1994            52                8
Comes A Time          10/19/1971  10/9/1994            66               11
Lost Sailor           8/4/1979    3/24/1986           145                7
Drumz                 4/6/1978    7/9/1995            1265              71
Saint Of Circumstance 8/31/1979   7/8/1995            222                7
Gimme Some Lovin      11/2/1984   9/15/1990            87               15
She Belongs To Me     1/7/1966    11/21/1985           10                9
Gloria                1/30/1968   6/30/1995            15                2
Day Job               8/28/1982   4/4/1986             57               18

